job_role,industry,automation_risk_pct,risk_level,automation_exposure_pct,task_repetition_pct,creativity_requirement_pct,physical_labor_pct,analytical_complexity_pct,social_interaction_pct,avg_salary_usd,experience_required_years,education_level,job_demand_index,job_growth_rate,skill_complexity_score,training_hours_needed,ai_dependency_current,ai_dependency_future,ai_tool_availability
Product Manager,Construction,79.24,High,62.26,85.54,68.27,71.01,30.22,30.37,103366,7,Bachelor,0.2538,-0.0879,0.0578,35,0.9719,0.6427,AutoGPT
Doctor,Legal,84.39,High,73.3,43.56,39.28,88.48,87.85,59.92,86096,12,Bachelor,0.8647,0.1447,0.2094,241,0.4086,0.6904,None
HR Specialist,Construction,41.8,Medium,49.84,37.82,39.49,51.39,60.31,47.15,168982,12,Bachelor,0.1565,-0.063,0.9238,169,0.2137,0.6358,Midjourney
Plumber,Construction,34.9,Medium,59.4,74.77,25.48,58.11,45.31,33.69,101185,7,Master,0.1231,0.1076,0.0829,358,0.5293,0.3967,ChatGPT
Software Engineer,Construction,82.06,High,43.28,91.29,15.68,16.29,22.26,37.43,80248,10,Master,0.0971,-0.0506,0.2908,241,0.399,0.6202,Midjourney
Product Manager,Energy,37.69,Medium,57.13,75.49,69.26,22.06,73.84,37.09,163023,5,PhD,0.0742,-0.0065,0.7265,452,0.125,0.2347,ChatGPT
Sales Manager,Legal,40.52,Medium,45.55,22.71,9.32,23.52,90.41,97.24,109888,10,Bachelor,0.0145,0.0734,0.8843,80,0.0232,0.2739,ChatGPT
Doctor,Tech,13.55,Low,51.81,88.83,93.78,43.07,23.53,23.3,124533,2,Master,0.1604,0.1363,0.0462,322,0.744,0.0651,Midjourney
HR Specialist,Retail,54.29,Medium,49.7,38.76,82.67,92.81,17.54,81.81,71954,0,Bachelor,0.1927,-0.0951,0.1854,210,0.9329,0.6128,None
Lawyer,Retail,32.64,Medium,59.81,57.62,85.75,52.18,69.62,70.82,119719,1,Bachelor,0.2697,-0.0348,0.3879,277,0.4405,0.8408,Gemini
Mechanic,Education,59.06,Medium,66.68,83.14,90.67,19.21,97.7,0.56,169876,4,Bachelor,0.124,0.0912,0.361,12,0.0654,0.3784,None
Sales Manager,Energy,44.82,Medium,40.15,18.84,40.86,26.61,75.0,99.32,30595,12,PhD,0.0942,-0.0567,0.2885,425,0.7406,0.2087,Copilot
HR Specialist,Manufacturing,74.81,High,48.44,78.45,84.67,38.4,28.46,75.64,59592,9,Master,0.5415,-0.0721,0.2423,362,0.8671,0.8239,Claude
Lawyer,Retail,27.78,Low,54.65,59.62,15.81,62.33,42.0,68.24,70643,4,PhD,0.7187,-0.0885,0.2687,152,0.3237,0.6441,Midjourney
Marketing Specialist,Healthcare,17.2,Low,57.26,89.33,2.16,44.0,38.43,40.53,92665,9,Master,0.6302,0.0256,0.1334,146,0.222,0.8935,Midjourney
HR Specialist,Manufacturing,70.3,High,47.22,17.2,78.49,39.24,85.21,55.52,35972,13,Master,0.5567,0.0919,0.1633,58,0.3371,0.0062,Gemini
Marketing Specialist,Construction,38.41,Medium,58.56,42.07,7.48,56.47,77.14,25.33,45882,0,Master,0.4406,0.1404,0.6068,181,0.9083,0.4012,Copilot
Consultant,Construction,56.36,Medium,55.46,83.28,98.85,24.18,58.9,3.55,55020,0,Bachelor,0.634,-0.0331,0.2922,90,0.418,0.901,AutoGPT
Mechanic,Legal,94.11,High,12.44,1.92,67.48,7.89,27.5,83.6,132621,14,Bachelor,0.9019,-0.0697,0.3997,165,0.6542,0.6754,None
Doctor,Manufacturing,48.41,Medium,35.82,11.22,75.34,2.44,93.8,89.65,115374,8,Bachelor,0.6274,0.0006,0.412,438,0.0744,0.4689,Midjourney
Marketing Specialist,Healthcare,15.24,Low,63.17,99.06,24.58,25.13,65.33,16.25,74912,1,High School,0.0609,-0.0861,0.1097,278,0.2815,0.4145,Claude
Civil Engineer,Legal,42.67,Medium,44.75,28.04,67.39,9.16,97.05,78.71,42879,6,Bachelor,0.5704,-0.0172,0.8195,312,0.228,0.8952,Copilot
Customer Support,Education,47.85,Medium,63.07,97.55,4.32,33.63,58.01,74.12,63798,9,Bachelor,0.5242,0.0608,0.9564,30,0.0626,0.8318,Midjourney
Doctor,Manufacturing,76.6,High,59.22,18.25,83.78,77.29,82.12,17.84,137791,3,Bachelor,0.452,-0.058,0.2635,59,0.1206,0.0123,AutoGPT
Software Engineer,Energy,19.52,Low,63.02,36.11,16.96,71.63,81.31,42.18,105791,6,PhD,0.5688,0.058,0.2944,184,0.4166,0.1211,Midjourney
Doctor,Construction,34.69,Medium,56.7,75.29,69.74,61.09,33.73,42.28,96983,7,Master,0.6726,0.143,0.6932,123,0.558,0.5123,AutoGPT
Marketing Specialist,Construction,5.0,Low,82.48,65.78,22.45,85.25,96.4,76.0,163922,4,High School,0.0373,0.116,0.0806,270,0.3119,0.1146,ChatGPT
Marketing Specialist,Finance,70.2,High,29.5,58.11,6.85,28.21,2.19,83.77,41953,12,Bachelor,0.4802,-0.0108,0.9073,272,0.4195,0.2748,ChatGPT
Data Analyst,Legal,74.39,High,72.79,52.99,48.15,88.51,76.87,9.48,136410,11,Bachelor,0.8172,0.0054,0.1206,431,0.7595,0.8349,Midjourney
Sales Manager,Tech,45.72,Medium,73.61,84.34,16.93,39.92,96.56,56.3,155155,11,Bachelor,0.5308,0.0048,0.7321,302,0.2472,0.3861,Gemini
Civil Engineer,Tech,53.83,Medium,32.49,23.49,72.94,40.09,33.89,76.17,111029,0,Master,0.0679,0.115,0.2915,348,0.0341,0.4509,ChatGPT
Lawyer,Legal,74.98,High,49.86,44.25,23.76,40.54,64.81,78.62,34055,3,Bachelor,0.7751,0.1485,0.3233,498,0.257,0.1742,Midjourney
Doctor,Energy,26.83,Low,27.19,15.55,34.25,9.81,56.22,14.8,68170,9,Bachelor,0.9413,0.1065,0.1408,425,0.9214,0.6023,AutoGPT
Data Analyst,Marketing,60.7,Medium,77.76,59.59,56.74,97.55,76.15,52.55,129976,2,Master,0.8518,0.0395,0.6463,449,0.018,0.1203,Copilot
Lawyer,Legal,96.39,High,41.84,25.05,28.5,13.85,86.62,85.76,58251,9,Master,0.3626,-0.0757,0.795,263,0.1289,0.6302,None
Nurse,Energy,65.8,Medium,42.59,33.38,37.8,34.09,60.3,31.85,165604,14,High School,0.5348,0.1386,0.9502,436,0.0651,0.7467,AutoGPT
Marketing Specialist,Education,7.81,Low,53.55,47.13,81.56,31.93,81.59,42.51,165996,11,Master,0.5913,0.115,0.3315,76,0.3769,0.8736,Claude
Plumber,Construction,29.03,Low,13.79,2.68,17.92,7.47,31.23,80.44,78037,4,Bachelor,0.7158,0.1104,0.6212,112,0.6477,0.5824,ChatGPT
Marketing Specialist,Healthcare,51.91,Medium,15.76,9.19,8.22,15.23,22.86,8.93,122115,9,Bachelor,0.6661,-0.002,0.415,364,0.9103,0.332,None
Electrician,Marketing,7.27,Low,38.72,68.59,32.84,4.49,43.07,85.95,107926,12,High School,0.1991,0.0118,0.5578,292,0.7941,0.8517,None
Accountant,Manufacturing,67.66,Medium,46.64,42.9,42.44,29.24,67.77,31.12,100400,9,Bachelor,0.843,-0.0701,0.1629,495,0.2507,0.5966,None
Sales Manager,Marketing,65.42,Medium,63.96,86.48,54.27,86.67,18.72,0.15,129525,12,Bachelor,0.8492,0.1345,0.5818,60,0.6348,0.3581,Midjourney
Graphic Designer,Healthcare,87.63,High,57.15,69.47,37.24,33.94,68.04,23.42,131164,5,Bachelor,0.4044,0.1358,0.8491,185,0.6638,0.3225,ChatGPT
HR Specialist,Finance,50.0,Medium,17.53,0.81,78.99,12.37,39.41,8.95,171774,1,Bachelor,0.1309,-0.0364,0.8637,337,0.0905,0.3206,AutoGPT
Plumber,Construction,69.21,Medium,68.6,61.67,3.93,64.57,79.56,9.24,136732,6,Master,0.6086,0.074,0.4834,252,0.4271,0.0563,AutoGPT
Marketing Specialist,Tech,18.2,Low,37.57,9.37,43.18,99.66,3.68,69.28,45385,12,High School,0.3573,-0.0491,0.2357,190,0.3112,0.1013,Copilot
Civil Engineer,Energy,0.29,Low,56.04,78.09,38.23,23.23,66.8,21.4,39336,2,High School,0.7414,-0.0018,0.8367,220,0.1571,0.0897,Gemini
Electrician,Legal,17.23,Low,64.03,99.15,64.76,27.96,64.98,93.47,95421,14,Master,0.3157,-0.0244,0.9994,359,0.0587,0.3122,Midjourney
Electrician,Legal,6.22,Low,81.47,53.12,96.63,97.18,94.09,51.64,66021,0,High School,0.263,-0.0026,0.3772,57,0.0271,0.474,Copilot
Plumber,Tech,42.77,Medium,52.5,68.28,51.04,17.88,71.34,46.01,164854,9,Master,0.8677,-0.0228,0.9244,241,0.8587,0.1476,Claude
Graphic Designer,Marketing,46.83,Medium,51.49,23.73,98.69,51.12,79.63,43.43,147369,2,Bachelor,0.6158,-0.0137,0.9835,275,0.3306,0.828,Midjourney
Mechanic,Construction,64.45,Medium,52.73,43.76,30.22,23.97,90.46,69.26,79111,8,Bachelor,0.086,0.0978,0.3956,103,0.4931,0.0656,Claude
Accountant,Retail,14.08,Low,82.12,85.61,3.09,93.24,67.51,45.23,119402,9,High School,0.6894,-0.025,0.7163,402,0.2916,0.9453,Gemini
Software Engineer,Energy,21.47,Low,47.97,16.74,16.57,98.15,29.02,12.86,149774,10,High School,0.7527,0.1037,0.5811,264,0.1659,0.0744,Midjourney
Business Analyst,Education,79.83,High,65.0,26.55,39.51,81.47,86.98,88.02,72719,10,High School,0.2352,0.042,0.7222,95,0.2613,0.8947,Midjourney
Marketing Specialist,Healthcare,57.65,Medium,50.26,44.54,31.63,31.48,74.76,42.84,155695,14,High School,0.9677,0.0951,0.1542,104,0.17,0.2607,None
Teacher,Marketing,2.94,Low,51.34,71.22,9.71,40.35,42.44,7.4,164585,5,Bachelor,0.3729,0.1297,0.3667,55,0.7579,0.9867,Copilot
Graphic Designer,Manufacturing,84.84,High,44.29,37.59,43.27,24.23,71.05,52.94,174407,10,High School,0.9406,-0.0654,0.0628,403,0.9075,0.5213,ChatGPT
Software Engineer,Finance,62.98,Medium,89.54,92.77,33.81,89.08,86.77,64.73,134126,5,Bachelor,0.2936,-0.014,0.6132,45,0.4345,0.0183,Midjourney
Marketing Specialist,Legal,18.66,Low,66.16,9.45,12.26,91.46,97.57,27.56,107658,3,Bachelor,0.6092,-0.0861,0.9267,19,0.8229,0.2827,Gemini
Business Analyst,Marketing,25.21,Low,58.07,37.08,29.61,41.89,95.24,80.03,61007,14,Bachelor,0.5176,0.0017,0.5603,253,0.4258,0.9402,Midjourney
Consultant,Finance,55.35,Medium,56.36,70.9,88.64,65.65,32.53,66.98,136833,7,High School,0.9922,-0.0406,0.0703,389,0.4468,0.2997,Midjourney
Nurse,Healthcare,56.08,Medium,27.11,22.6,30.2,16.56,42.17,65.03,148637,4,High School,0.4084,0.0429,0.9304,36,0.4851,0.3596,Midjourney
Consultant,Legal,80.52,High,40.03,65.64,71.4,43.49,10.95,42.08,150721,6,High School,0.1793,0.0958,0.133,88,0.8202,0.0441,None
Doctor,Legal,35.86,Medium,34.78,16.42,61.2,63.15,24.75,96.19,123220,8,Master,0.8332,0.0216,0.8829,412,0.9363,0.2533,Midjourney
Software Engineer,Retail,54.93,Medium,44.13,5.6,42.72,38.54,88.24,27.42,56393,12,Bachelor,0.042,-0.0166,0.7142,148,0.7444,0.2593,Gemini
Marketing Specialist,Marketing,58.25,Medium,27.98,12.1,23.9,35.76,36.08,57.77,87480,12,Master,0.885,-0.0619,0.6364,41,0.8884,0.716,Copilot
Customer Support,Construction,55.87,Medium,51.72,93.0,36.9,0.1,62.06,30.91,147243,13,Bachelor,0.1106,-0.0933,0.5868,157,0.6427,0.5058,ChatGPT
Lawyer,Tech,7.29,Low,67.4,55.18,59.21,80.43,66.6,74.48,118290,4,Bachelor,0.572,0.0695,0.1311,55,0.8393,0.161,Gemini
Sales Manager,Tech,41.13,Medium,82.25,79.63,35.08,88.93,78.18,4.78,134263,10,Bachelor,0.7134,-0.0924,0.5008,69,0.5568,0.7956,Gemini
Civil Engineer,Education,33.89,Medium,49.5,33.27,21.49,96.95,18.28,4.59,170179,13,Master,0.3363,0.1302,0.1967,472,0.7727,0.6115,Claude
Graphic Designer,Manufacturing,99.28,High,53.89,59.27,11.65,71.93,30.48,81.09,35993,4,Bachelor,0.8447,0.0486,0.5718,77,0.7053,0.2685,ChatGPT
Electrician,Finance,46.57,Medium,49.74,49.5,87.98,54.88,44.83,43.43,123650,13,High School,0.5937,-0.0117,0.4473,26,0.7493,0.2238,None
Nurse,Marketing,43.52,Medium,52.66,94.57,44.03,26.93,36.48,34.12,147595,3,Bachelor,0.3952,-0.0895,0.6797,74,0.2344,0.9249,Copilot
Software Engineer,Energy,48.37,Medium,90.99,74.76,62.52,99.93,98.29,60.75,82066,5,Bachelor,0.3254,0.0034,0.9825,194,0.1538,0.6371,AutoGPT
Product Manager,Manufacturing,91.93,High,71.84,73.05,49.04,58.98,83.49,70.19,141850,1,Bachelor,0.112,0.1168,0.361,284,0.653,0.8074,Copilot
HR Specialist,Retail,61.15,Medium,40.24,4.64,87.26,68.12,47.97,20.12,72942,2,Bachelor,0.6404,0.1425,0.6167,14,0.4829,0.2255,AutoGPT
Accountant,Legal,38.91,Medium,70.38,54.97,54.69,68.24,87.93,18.54,46138,0,Bachelor,0.364,-0.0788,0.8644,91,0.7647,0.5887,Claude
UX Designer,Construction,91.26,High,55.33,46.7,48.08,84.53,34.77,95.82,148558,1,Bachelor,0.3206,0.0943,0.0929,474,0.1465,0.0535,Claude
Accountant,Marketing,92.98,High,57.44,92.78,92.46,0.97,78.58,58.97,39190,1,Bachelor,0.9499,-0.0354,0.8002,64,0.9477,0.5947,None
Mechanic,Manufacturing,26.43,Low,23.38,25.73,71.97,22.02,22.37,39.01,122259,7,Master,0.2728,-0.0051,0.2394,371,0.704,0.2036,Gemini
Accountant,Manufacturing,39.34,Medium,56.92,26.98,11.15,66.55,77.23,80.14,108422,7,Master,0.8766,0.0369,0.5403,498,0.023,0.6691,Copilot
Consultant,Construction,96.65,High,58.76,41.13,17.77,89.51,45.65,52.52,112315,1,Bachelor,0.9749,0.1487,0.9915,13,0.5765,0.932,AutoGPT
Teacher,Education,54.1,Medium,34.54,24.34,78.71,68.53,10.75,24.17,59086,12,Bachelor,0.8227,-0.0478,0.9841,189,0.3126,0.4587,Copilot
Consultant,Finance,43.17,Medium,27.2,12.92,83.59,41.35,27.33,20.67,178394,13,Master,0.0195,-0.0674,0.3158,28,0.2747,0.3054,AutoGPT
Electrician,Finance,19.54,Low,54.04,85.74,54.52,36.16,40.23,39.69,155604,5,Bachelor,0.8686,0.0487,0.1318,424,0.9022,0.1233,Copilot
Data Analyst,Manufacturing,38.44,Medium,68.18,55.83,55.45,73.79,74.93,85.99,130814,14,Bachelor,0.2134,0.1133,0.9382,140,0.8359,0.6706,Gemini
Mechanic,Healthcare,63.12,Medium,55.85,86.14,63.19,74.12,7.3,6.14,149324,4,Master,0.3533,0.0621,0.8935,76,0.0096,0.5842,AutoGPT
Mechanic,Manufacturing,3.87,Low,69.92,83.11,43.91,60.71,65.95,21.85,158921,2,Bachelor,0.9916,-0.0131,0.616,294,0.1817,0.5446,Copilot
Business Analyst,Manufacturing,8.33,Low,42.98,28.2,68.02,29.15,71.6,89.32,33435,4,High School,0.405,0.1442,0.0324,190,0.7195,0.936,Midjourney
Product Manager,Construction,0.54,Low,70.89,54.77,10.85,92.52,65.39,12.17,131505,4,Master,0.6548,0.1488,0.7513,145,0.8482,0.9782,Claude
Teacher,Legal,21.89,Low,46.53,8.32,96.13,55.19,76.07,62.96,83331,4,High School,0.3107,0.0927,0.1609,385,0.7176,0.717,None
Accountant,Construction,18.3,Low,62.8,91.53,75.02,79.05,17.82,21.35,143457,2,Master,0.3694,0.1006,0.943,142,0.5253,0.196,Claude
Customer Support,Marketing,85.08,High,40.19,40.43,63.12,21.43,58.71,60.59,82389,14,Master,0.5976,0.0902,0.4351,73,0.9846,0.9468,AutoGPT
UX Designer,Manufacturing,18.52,Low,55.96,39.37,31.63,34.4,94.11,38.31,83014,2,PhD,0.9483,-0.0356,0.6151,488,0.7973,0.3449,Claude
Teacher,Finance,66.12,Medium,59.6,30.28,16.1,87.46,61.08,10.17,60297,3,High School,0.2825,-0.0624,0.2811,36,0.4679,0.0792,None
Graphic Designer,Energy,11.84,Low,37.4,46.07,40.93,5.01,61.13,58.25,73890,6,Bachelor,0.2474,0.0386,0.4751,298,0.5835,0.2411,Claude
Plumber,Finance,59.36,Medium,50.02,25.18,66.16,51.23,73.64,68.3,51322,11,Bachelor,0.0263,0.1385,0.7546,323,0.0448,0.8304,Midjourney
Data Analyst,Tech,43.56,Medium,39.66,37.49,63.37,48.17,33.32,68.03,65739,11,Bachelor,0.2021,0.1196,0.492,327,0.9647,0.2038,ChatGPT
Sales Manager,Education,40.87,Medium,75.06,79.99,38.26,75.12,70.05,63.7,170791,11,High School,0.2624,-0.0733,0.8472,347,0.3627,0.3951,Copilot
Product Manager,Retail,85.66,High,67.75,83.43,61.33,28.19,91.62,50.02,109553,13,Bachelor,0.0629,-0.0858,0.713,481,0.6615,0.2735,AutoGPT
Product Manager,Marketing,16.77,Low,17.8,30.42,81.37,21.91,1.09,51.95,38314,1,Bachelor,0.5636,0.1184,0.0774,291,0.667,0.0478,Claude
Civil Engineer,Marketing,59.52,Medium,75.51,46.9,2.63,92.61,87.01,63.56,123831,9,High School,0.1268,0.0533,0.6068,232,0.0569,0.5617,Copilot
Plumber,Education,82.19,High,55.47,87.38,45.06,57.17,21.86,69.03,105164,3,Bachelor,0.5111,-0.0239,0.6126,279,0.2659,0.6288,Copilot
Software Engineer,Energy,71.39,High,20.44,5.27,75.86,10.47,45.59,65.49,137658,3,Master,0.189,0.0404,0.3809,482,0.6562,0.7911,Midjourney
Business Analyst,Retail,98.33,High,64.48,88.91,54.61,19.3,85.23,58.69,107028,0,Master,0.9357,-0.0446,0.3227,41,0.9122,0.4147,None
Software Engineer,Legal,0.21,Low,68.06,21.92,65.15,99.88,82.39,15.58,66113,9,Master,0.3071,0.1367,0.0629,496,0.7786,0.1413,Copilot
Accountant,Manufacturing,88.44,High,58.87,67.85,51.67,19.56,89.19,21.06,147174,7,Bachelor,0.0929,0.1068,0.4462,306,0.5801,0.6522,None
Consultant,Retail,61.35,Medium,71.11,58.26,99.19,61.05,94.04,26.02,176429,0,PhD,0.8362,0.1406,0.3366,258,0.2325,0.8901,Claude
Customer Support,Energy,0.25,Low,47.34,55.29,5.46,42.01,44.72,91.97,50365,7,Master,0.402,-0.0532,0.9511,151,0.9488,0.1198,AutoGPT
Marketing Specialist,Healthcare,46.55,Medium,80.04,85.94,49.1,88.56,65.64,75.94,69029,6,Bachelor,0.8201,0.1109,0.6742,57,0.4037,0.1826,Copilot
Nurse,Tech,76.74,High,41.57,10.16,9.14,75.52,39.05,55.29,31737,8,High School,0.3125,0.0401,0.4601,185,0.1499,0.3292,Midjourney
Graphic Designer,Retail,18.25,Low,43.16,34.7,15.98,59.7,35.07,25.21,161042,7,Bachelor,0.5,-0.0188,0.7546,356,0.0216,0.6503,AutoGPT
Product Manager,Retail,67.85,Medium,32.69,53.83,38.3,1.07,43.16,11.09,115474,4,Bachelor,0.4454,0.0199,0.7788,479,0.9502,0.5238,AutoGPT
Plumber,Tech,13.97,Low,81.14,81.13,15.55,87.98,74.31,89.88,108218,7,Bachelor,0.5579,0.1361,0.4805,303,0.7779,0.7124,AutoGPT
UX Designer,Manufacturing,80.35,High,38.75,21.64,96.37,44.47,50.14,89.27,158692,13,Bachelor,0.4017,0.0729,0.0758,400,0.2164,0.0313,Claude
Software Engineer,Retail,56.85,Medium,84.95,80.29,94.68,93.16,81.41,11.07,158411,14,Master,0.4968,-0.01,0.7806,42,0.1418,0.8105,Midjourney
Product Manager,Tech,3.39,Low,54.68,39.96,33.61,49.55,74.52,79.72,30294,10,Bachelor,0.6793,0.15,0.0903,372,0.9595,0.9875,Gemini
Business Analyst,Tech,9.09,Low,30.12,18.89,63.97,69.42,2.05,44.66,54596,9,High School,0.4147,-0.0136,0.8475,498,0.2408,0.0467,ChatGPT
UX Designer,Tech,86.39,High,48.62,75.9,53.38,6.93,63.02,32.4,128185,11,Master,0.6844,0.1034,0.3342,106,0.4619,0.4954,Copilot
Plumber,Construction,3.3,Low,42.42,9.09,81.56,74.52,43.66,73.91,41434,14,Bachelor,0.7143,0.0961,0.6382,33,0.6109,0.7399,Copilot
Customer Support,Energy,29.85,Low,43.65,51.48,62.74,33.8,45.66,61.43,88382,11,PhD,0.7489,0.0807,0.7404,35,0.0624,0.4764,Copilot
Consultant,Construction,56.69,Medium,41.12,6.39,0.03,35.14,81.84,78.0,68098,2,High School,0.4709,0.0674,0.0352,59,0.3444,0.5929,None
Teacher,Healthcare,21.34,Low,34.09,35.64,76.32,11.87,54.76,7.43,34655,14,PhD,0.0038,-0.0728,0.3846,179,0.9436,0.9209,Gemini
Product Manager,Legal,22.42,Low,54.45,60.11,74.68,14.69,88.56,31.86,113029,9,High School,0.7535,0.1487,0.6041,104,0.7003,0.5398,AutoGPT
Lawyer,Construction,77.6,High,48.49,55.61,50.97,18.58,71.28,31.93,76228,6,High School,0.9091,-0.0597,0.8481,228,0.3678,0.2366,AutoGPT
HR Specialist,Construction,29.1,Low,42.86,40.47,90.29,32.82,55.28,32.98,33771,11,High School,0.6526,0.049,0.7178,390,0.7917,0.7386,None
UX Designer,Energy,3.86,Low,69.19,42.9,90.84,89.2,75.45,50.25,104099,3,Master,0.5245,-0.0377,0.8961,150,0.8372,0.3754,ChatGPT
Sales Manager,Legal,72.11,High,21.11,22.68,52.39,36.83,3.83,28.3,150811,4,Master,0.5596,-0.0578,0.0827,424,0.1518,0.2851,Midjourney
Civil Engineer,Education,95.44,High,40.24,45.59,60.8,72.44,2.71,44.44,92257,8,Bachelor,0.6408,0.0399,0.0718,233,0.5866,0.2484,Gemini
HR Specialist,Tech,83.19,High,37.31,95.33,99.65,8.27,8.33,36.78,47558,6,Master,0.9985,0.1091,0.7135,288,0.3668,0.0794,Gemini
Customer Support,Marketing,54.86,Medium,62.64,85.05,29.88,59.11,43.76,73.53,88436,3,Bachelor,0.0621,-0.0058,0.3985,174,0.5069,0.9329,Claude
Data Analyst,Legal,42.49,Medium,28.75,14.52,32.46,48.19,23.55,60.35,137779,5,Bachelor,0.0212,-0.0807,0.4816,497,0.4691,0.5634,AutoGPT
Sales Manager,Healthcare,92.52,High,66.4,2.98,18.28,97.8,98.43,65.36,154891,9,Master,0.9642,0.0559,0.6043,374,0.5038,0.9551,Gemini
Product Manager,Manufacturing,76.62,High,77.4,93.35,89.59,84.62,54.23,21.06,62376,13,Bachelor,0.4405,0.0916,0.9859,68,0.5219,0.8618,Gemini
Software Engineer,Healthcare,57.07,Medium,54.8,52.67,74.45,45.48,66.24,32.55,107924,10,Bachelor,0.6124,-0.026,0.0672,451,0.0693,0.0302,Copilot
Customer Support,Tech,87.98,High,53.06,53.78,10.56,77.51,27.88,2.12,59332,6,Master,0.7534,0.0726,0.1089,281,0.1777,0.2473,None
Consultant,Legal,60.17,Medium,43.19,78.07,98.18,19.3,32.18,10.84,161001,12,Master,0.7421,-0.0811,0.8293,304,0.5662,0.3154,AutoGPT
Teacher,Healthcare,97.35,High,40.42,31.47,73.1,56.23,33.55,26.51,76737,9,PhD,0.6472,-0.0096,0.0205,209,0.936,0.4898,Claude
Mechanic,Healthcare,85.83,High,41.84,48.19,85.05,7.46,69.87,6.55,160912,12,Master,0.4719,0.0185,0.4505,91,0.7465,0.7161,Midjourney
Product Manager,Education,55.04,Medium,59.68,96.87,4.82,34.81,47.37,60.26,119031,8,High School,0.5761,0.0955,0.7741,259,0.2386,0.6808,ChatGPT
Teacher,Education,92.28,High,47.19,67.21,50.5,22.59,51.77,99.81,50991,3,Master,0.7296,-0.0155,0.1953,356,0.3617,0.9873,Midjourney
Lawyer,Legal,34.24,Medium,48.82,15.37,69.86,71.89,59.2,10.08,57472,9,Bachelor,0.8508,0.0134,0.187,274,0.3354,0.9233,Claude
Doctor,Tech,70.09,High,46.4,13.32,54.29,49.01,76.88,82.12,89946,2,PhD,0.1273,0.0571,0.3103,457,0.7695,0.1863,Copilot
Business Analyst,Construction,17.13,Low,34.86,20.43,66.66,75.11,9.04,11.88,31541,7,Bachelor,0.278,0.056,0.15,101,0.9722,0.8599,ChatGPT
Consultant,Finance,89.54,High,68.63,76.67,81.79,51.53,77.69,66.99,159237,14,Bachelor,0.3976,0.0294,0.6786,287,0.3554,0.8429,Midjourney
Doctor,Retail,24.81,Low,31.5,29.54,37.43,8.65,56.32,64.32,32765,0,Bachelor,0.6655,-0.0179,0.2001,84,0.0148,0.5748,AutoGPT
Product Manager,Marketing,94.9,High,47.53,2.14,84.87,73.54,66.91,90.27,73074,8,Bachelor,0.3957,0.0675,0.2269,319,0.9369,0.3381,AutoGPT
Business Analyst,Retail,1.7,Low,70.17,94.42,16.29,83.32,32.76,11.39,132795,12,High School,0.2389,0.1093,0.5749,415,0.7532,0.2086,ChatGPT
Mechanic,Energy,68.18,Medium,49.42,16.97,27.09,90.35,40.94,31.54,131387,0,Master,0.0331,-0.0615,0.9673,23,0.8344,0.2125,ChatGPT
UX Designer,Education,15.01,Low,27.09,0.96,4.33,57.2,23.12,9.08,161841,1,Master,0.8425,-0.0149,0.9139,224,0.2087,0.3378,ChatGPT
Graphic Designer,Legal,77.08,High,65.67,23.71,36.44,75.36,97.93,40.74,178878,12,High School,0.4189,0.0672,0.8645,459,0.6457,0.5039,Gemini
Customer Support,Retail,49.19,Medium,49.47,23.5,37.99,75.2,49.7,91.16,32972,7,Master,0.3292,0.0889,0.5309,88,0.2327,0.5838,Claude
Teacher,Tech,90.97,High,52.46,42.2,80.53,15.57,99.61,78.15,179328,8,Bachelor,0.5308,0.0954,0.2978,443,0.0116,0.325,AutoGPT
Customer Support,Marketing,71.51,High,52.48,92.04,65.31,16.42,48.98,72.29,133903,6,Bachelor,0.1229,0.0633,0.7058,142,0.1571,0.3566,AutoGPT
UX Designer,Retail,76.83,High,38.99,87.92,43.67,7.09,21.98,53.3,179725,2,Bachelor,0.3974,0.0196,0.3896,486,0.9228,0.0135,Claude
Business Analyst,Marketing,12.05,Low,42.81,45.69,65.21,31.99,50.75,88.35,133579,6,Master,0.7518,0.0614,0.7779,234,0.2153,0.0021,Copilot
Product Manager,Manufacturing,9.66,Low,30.8,41.09,5.28,47.35,3.96,44.94,69339,5,Master,0.7361,-0.0662,0.0162,249,0.5851,0.9072,AutoGPT
Business Analyst,Tech,85.06,High,81.92,55.5,18.03,99.79,90.48,14.97,133376,1,Bachelor,0.7719,-0.0481,0.5295,373,0.968,0.014,Midjourney
Graphic Designer,Finance,22.58,Low,49.77,24.35,62.69,43.1,81.86,83.76,72399,2,Bachelor,0.4674,0.1319,0.3374,359,0.0757,0.0331,Copilot
Consultant,Healthcare,86.69,High,50.14,5.22,64.14,72.62,72.58,27.96,74013,10,High School,0.3689,0.1305,0.249,410,0.8079,0.2056,None
Teacher,Marketing,14.25,Low,74.75,93.92,77.41,69.34,60.98,5.36,175778,12,Bachelor,0.8314,0.081,0.6618,266,0.5976,0.7434,None
UX Designer,Tech,30.85,Medium,32.37,18.67,40.3,20.45,57.98,12.6,57909,11,High School,0.1733,-0.0182,0.6584,151,0.3234,0.6789,Midjourney
Accountant,Marketing,92.87,High,41.79,19.84,72.26,5.85,99.67,60.91,162385,12,High School,0.7251,0.0622,0.0371,248,0.3643,0.6472,ChatGPT
Nurse,Marketing,83.97,High,43.22,47.25,68.4,54.6,27.8,60.71,168919,9,Bachelor,0.8879,0.0719,0.9477,64,0.0272,0.575,AutoGPT
